0,-10
0,10
0,30
0,50
0,70
0,90
0,110
0,130
0,150
0,170
0,190
0,210
0,230
0,250
0,270
0,290
0,310
3,330
2,350
3,370
8,390
15,410
16,430
20,450
17,470
26,490
36,510
46,530
49,550
52,570
49,590
68,610
75,630
71,650
69,670
73,690
96,710
99,730
101,750
84,770
103,790
109,810
114,830
108,850
103,870
107,890
104,910
109,930
107,950
100,970
89,990
95,1010
92,1030
87,1050
104,1070
101,1090
85,1110
86,1130
82,1150
71,1170
90,1190
84,1210
66,1230
57,1250
67,1270
64,1290
53,1310
48,1330
39,1350
62,1370
53,1390
43,1410
39,1430
41,1450
43,1470
33,1490
26,1510
41,1530
21,1550
23,1570
17,1590
20,1610
15,1630
18,1650
21,1670
21,1690
16,1710
9,1730
5,1750
11,1770
10,1790
11,1810
4,1830
8,1850
3,1870
5,1890
6,1910
7,1930
4,1950
3,1970
2,1990
39,2010
