y,x
7672,15.225
6769,15.675
6158,16.125
5410,16.575
4813,17.025000000000002
4190,17.475
3878,17.925
3427,18.375
3019,18.825
2760,19.275000000000002
2479,19.725
2212,20.175
1948,20.625
1742,21.075
1589,21.525000000000002
1492,21.975
1282,22.425
1162,22.875
1132,23.325
1066,23.775000000000002
961,24.225
923,24.675
876,25.125
748,25.575
756,26.025000000000002
626,26.475
664,26.925
624,27.375
527,27.825
477,28.275000000000002
492,28.725
441,29.175
435,29.625
416,30.075
397,30.525000000000002
407,30.975
358,31.425
354,31.875
356,32.325
382,32.775
324,33.225
319,33.675000000000004
293,34.125
298,34.575
289,35.025
281,35.475
281,35.925000000000004
286,36.375
249,36.825
232,37.275
237,37.725
221,38.175000000000004
189,38.625
205,39.075
224,39.525
187,39.975
198,40.425000000000004
196,40.875
217,41.325
165,41.775
176,42.225
182,42.675000000000004
163,43.125
178,43.575
190,44.025
169,44.475
136,44.925000000000004
154,45.375
143,45.825
133,46.275
145,46.725
146,47.175000000000004
121,47.625
124,48.075
131,48.525
150,48.975
123,49.425000000000004
121,49.875
118,50.325
121,50.775
120,51.225
126,51.675000000000004
124,52.125
107,52.575
94,53.025
101,53.475
84,53.925000000000004
96,54.375
99,54.825
83,55.275
81,55.725
91,56.175000000000004
104,56.625
76,57.075
96,57.525
81,57.975
87,58.425000000000004
71,58.875
75,59.325
77,59.775
4902,60.225
