y,x
1,130
1,150
6,170
5,190
8,210
16,230
33,250
38,270
45,290
61,310
82,330
75,350
87,370
99,390
100,410
113,430
142,450
124,470
120,490
127,510
141,530
139,550
135,570
137,590
180,610
134,630
141,650
115,670
128,690
117,710
137,730
97,750
100,770
120,790
109,810
117,830
101,850
119,870
96,890
97,910
92,930
91,950
78,970
92,990
80,1010
89,1030
66,1050
70,1070
51,1090
49,1110
52,1130
49,1150
43,1170
35,1190
35,1210
33,1230
41,1250
30,1270
20,1290
28,1310
28,1330
20,1350
26,1370
17,1390
17,1410
14,1430
16,1450
19,1470
15,1490
10,1510
7,1530
8,1550
9,1570
12,1590
6,1610
4,1630
6,1650
4,1670
4,1690
4,1710
2,1730
6,1750
7,1770
4,1790
3,1810
1,1830
1,1850
2,1870
1,1890
2,1910
2,1930
1,1950
2,1970
1,1990
7,2010
