y,x
7,90
16,110
59,130
108,150
158,170
275,190
358,210
479,230
672,250
785,270
1033,290
1158,310
1423,330
1609,350
1747,370
1855,390
2036,410
2234,430
2338,450
2393,470
2484,490
2556,510
2580,530
2510,550
2588,570
2598,590
2691,610
2626,630
2543,650
2495,670
2497,690
2505,710
2489,730
2383,750
2249,770
2271,790
2313,810
2140,830
2128,850
2039,870
1910,890
1926,910
1780,930
1702,950
1635,970
1522,990
1513,1010
1380,1030
1307,1050
1283,1070
1131,1090
1050,1110
1014,1130
963,1150
906,1170
821,1190
781,1210
714,1230
666,1250
611,1270
558,1290
495,1310
495,1330
392,1350
451,1370
372,1390
357,1410
278,1430
264,1450
248,1470
213,1490
194,1510
204,1530
162,1550
136,1570
130,1590
119,1610
99,1630
96,1650
86,1670
74,1690
64,1710
52,1730
49,1750
44,1770
35,1790
34,1810
25,1830
34,1850
14,1870
23,1890
17,1910
19,1930
15,1950
13,1970
16,1990
81,2010
